,CLOSE
2017-10-09,11200.0
2017-10-10,11400.0
2017-10-11,11400.0
2017-10-12,11350.0
2017-10-13,11500.0
2017-10-16,11500.0
2017-10-17,11450.0
2017-10-18,11600.0
2017-10-19,11650.0
2017-10-20,11450.0
2017-10-23,11450.0
2017-10-24,11550.0
2017-10-25,11600.0
2017-10-26,11550.0
2017-10-27,11550.0
2017-10-30,11400.0
2017-10-31,11300.0
2017-11-01,11500.0
2017-11-02,11500.0
2017-11-03,11600.0
2017-11-06,12000.0
2017-11-07,12050.0
2017-11-08,12000.0
2017-11-09,12100.0
2017-11-10,11900.0
2017-11-13,11850.0
2017-11-14,11850.0
2017-11-15,11500.0
2017-11-16,11700.0
2017-11-17,11700.0
2017-11-20,11750.0
2017-11-21,11750.0
2017-11-22,11850.0
2017-11-23,12200.0
2017-11-24,12300.0
2017-11-27,12200.0
2017-11-28,11800.0
2017-11-29,12100.0
2017-11-30,12100.0
2017-12-01,12350.0
2017-12-04,12900.0
2017-12-05,12700.0
2017-12-06,12300.0
2017-12-07,12400.0
2017-12-08,12100.0
2017-12-11,12100.0
2017-12-12,12100.0
2017-12-13,12000.0
2017-12-14,12300.0
2017-12-15,12350.0
2017-12-18,12525.0
2017-12-19,12400.0
2017-12-20,12400.0
2017-12-21,12450.0
2017-12-22,12100.0
2017-12-25,12150.0
2017-12-26,12200.0
2017-12-27,12300.0
2017-12-28,12100.0
2017-12-29,12100.0
2018-01-02,12300.0
2018-01-03,12300.0
2018-01-04,12100.0
2018-01-05,12000.0
2018-01-08,12000.0
2018-01-09,12100.0
2018-01-10,12200.0
2018-01-11,12200.0
2018-01-12,12300.0
2018-01-15,12500.0
2018-01-16,12400.0
2018-01-17,12300.0
2018-01-18,12300.0
2018-01-19,12200.0
2018-01-22,12100.0
2018-01-23,12150.0
2018-01-24,12000.0
2018-01-25,12050.0
2018-01-26,12100.0
2018-01-29,12000.0
2018-01-30,12000.0
2018-01-31,11700.0
2018-02-01,11600.0
2018-02-02,11650.0
2018-02-05,11650.0
2018-02-06,11500.0
2018-02-07,11500.0
2018-02-08,11400.0
2018-02-09,11400.0
2018-02-12,11400.0
2018-02-13,11400.0
2018-02-14,11400.0
2018-02-22,11600.0
2018-02-23,12000.0
2018-02-26,12050.0
2018-02-27,12000.0
2018-02-28,12200.0
2018-03-01,12200.0
2018-03-02,12100.0
2018-03-05,12200.0
2018-03-06,12000.0
2018-03-07,12000.0
2018-03-08,12150.0
2018-03-09,11950.0
2018-03-12,11900.0
2018-03-13,11900.0
2018-03-14,11900.0
2018-03-15,11950.0
2018-03-16,11750.0
2018-03-19,11600.0
2018-03-20,11400.0
2018-03-21,11300.0
2018-03-22,11300.0
2018-03-23,10450.0
2018-03-26,10200.0
2018-03-27,10500.0
2018-03-28,10450.0
2018-03-29,10450.0
2018-03-30,10450.0
2018-04-02,10450.0
2018-04-03,10550.0
2018-04-04,10450.0
2018-04-09,10500.0
2018-04-10,10600.0
2018-04-11,10550.0
2018-04-12,10400.0
2018-04-13,10550.0
2018-04-16,10350.0
2018-04-17,10250.0
2018-04-18,10250.0
2018-04-19,10450.0
2018-04-20,10800.0
2018-04-23,10750.0
2018-04-24,10700.0
2018-04-25,10700.0
2018-04-26,10600.0
2018-04-27,10500.0
2018-05-02,10650.0
2018-05-03,10750.0
2018-05-04,10850.0
2018-05-07,11000.0
2018-05-08,11000.0
2018-05-09,10750.0
2018-05-10,10950.0
2018-05-11,10900.0
2018-05-14,10900.0
2018-05-15,10600.0
2018-05-16,10500.0
2018-05-17,10650.0
2018-05-18,10950.0
2018-05-21,11450.0
2018-05-22,11350.0
2018-05-23,11150.0
2018-05-24,11050.0
2018-05-25,11150.0
2018-05-28,11000.0
2018-05-29,11200.0
2018-05-30,11050.0
2018-05-31,11000.0
2018-06-01,11000.0
2018-06-04,11000.0
2018-06-05,10900.0
2018-06-06,10850.0
2018-06-07,11000.0
2018-06-08,10750.0
2018-06-11,10750.0
2018-06-12,10700.0
2018-06-13,10300.0
2018-06-14,10300.0
2018-06-15,10200.0
2018-06-19,9800.0
2018-06-20,9900.0
2018-06-21,9900.0
2018-06-22,10050.0
2018-06-25,10050.0
2018-06-26,10100.0
2018-06-27,10100.0
2018-06-28,10150.0
2018-06-29,10150.0
2018-07-02,10150.0
2018-07-03,10150.0
2018-07-04,10050.0
2018-07-05,10050.0
2018-07-06,9950.0
2018-07-09,10050.0
2018-07-10,10100.0
2018-07-11,10000.0
2018-07-12,10000.0
2018-07-13,10000.0
2018-07-16,9950.0
2018-07-17,10100.0
2018-07-18,10050.0
2018-07-19,10050.0
2018-07-20,9950.0
2018-07-23,9800.0
2018-07-24,9850.0
2018-07-25,10000.0
2018-07-26,10000.0
2018-07-27,10000.0
2018-07-30,10025.0
2018-07-31,9950.0
2018-08-01,10000.0
2018-08-02,10000.0
2018-08-03,10000.0
2018-08-06,10000.0
2018-08-07,10150.0
2018-08-08,10200.0
2018-08-09,10150.0
2018-08-10,10200.0
2018-08-13,10200.0
2018-08-14,10200.0
2018-08-15,10200.0
2018-08-16,10000.0
2018-08-17,10000.0
2018-08-20,10000.0
2018-08-21,10000.0
2018-08-22,10700.0
2018-08-23,10700.0
2018-08-24,10700.0
2018-08-27,10700.0
2018-08-28,10700.0
2018-08-29,10350.0
2018-08-30,10400.0
2018-08-31,10400.0
2018-09-03,10200.0
2018-09-04,10250.0
2018-09-05,10450.0
2018-09-06,10450.0
2018-09-07,10450.0
2018-09-10,10600.0
2018-09-11,10600.0
2018-09-12,10700.0
2018-09-13,10700.0
2018-09-14,10700.0
2018-09-17,10700.0
2018-09-18,10700.0
2018-09-19,10700.0
2018-09-20,10700.0
2018-09-21,10700.0
2018-09-25,11050.0
2018-09-26,11150.0
2018-09-27,11000.0
2018-09-28,10950.0
2018-10-08,10900.0
2018-10-09,11300.0
2018-10-10,11150.0
2018-10-11,10900.0
2018-10-12,10900.0
2018-10-15,10900.0
2018-10-16,10900.0
2018-10-17,10950.0
2018-10-18,10850.0
2018-10-19,10750.0
2018-10-22,10850.0
2018-10-23,10850.0
2018-10-24,10700.0
2018-10-25,10550.0
2018-10-26,10675.0
2018-10-29,10475.0
2018-10-30,10425.0
2018-10-31,10300.0
2018-11-01,10300.0
2018-11-02,10275.0
2018-11-05,10300.0
2018-11-06,10275.0
2018-11-07,10375.0
2018-11-08,10375.0
2018-11-09,10300.0
2018-11-12,10000.0
2018-11-13,10000.0
2018-11-14,10100.0
2018-11-15,10150.0
2018-11-16,10250.0
